SSPs   H_beta  e_H_beta   Fe5335  e_Fe5335
m42ssp170.spec     1.86   0.09     2.07   0.10
m42ssp175.spec     1.78   0.10     2.11   0.11
m42ssp180.spec     1.71   0.11     2.18   0.11
m42ssp185.spec     1.66   0.11     2.20   0.11
m42ssp190.spec     1.61   0.12     2.20   0.10
m42ssp195.spec     1.61   0.12     2.22   0.10
m42ssp200.spec     1.61   0.11     2.24   0.10
m42ssp205.spec     1.61   0.12     2.24   0.10
m42ssp210.spec     1.61   0.12     2.26   0.11
m42ssp215.spec     1.64   0.12     2.26   0.11
m42ssp220.spec     1.65   0.11     2.28   0.11
m52ssp005.spec     2.51   0.02     0.00   0.01
m52ssp010.spec     2.51   0.02     0.00   0.01
m52ssp015.spec     2.52   0.02     0.00   0.01
m52ssp020.spec     2.51   0.02     0.00   0.01
m52ssp025.spec     2.51   0.02     0.00   0.01
m52ssp030.spec     2.52   0.02     0.00   0.01
m52ssp035.spec     2.80   0.02     0.00   0.00
m52ssp040.spec     2.73   0.02     0.00   0.00
m52ssp045.spec     3.07   0.02     0.00   0.00
m52ssp050.spec     3.16   0.02     0.09   0.03
m52ssp055.spec     3.94   0.03     0.16   0.02
m52ssp060.spec     3.68   0.04     1.10   0.14
m52ssp065.spec     3.75   0.04     1.08   0.11
m52ssp070.spec     3.87   0.02     0.86   0.06
m52ssp075.spec     3.94   0.02     0.80   0.05
m52ssp080.spec     3.88   0.02     0.85   0.05
m52ssp085.spec     3.82   0.02     1.01   0.07
m52ssp090.spec     3.78   0.02     1.08   0.08
m52ssp095.spec     3.78   0.03     1.12   0.08
m52ssp100.spec     3.86   0.03     1.06   0.07
m52ssp105.spec     4.03   0.03     1.03   0.07
m52ssp110.spec     4.59   0.04     0.89   0.06
m52ssp115.spec     5.39   0.05     0.80   0.08
m52ssp120.spec     5.99   0.07     0.84   0.08
m52ssp125.spec     6.45   0.08     1.07   0.09
m52ssp130.spec     6.38   0.08     1.30   0.13
m52ssp135.spec     5.09   0.06     1.59   0.12
m52ssp140.spec     3.08   0.09     2.25   0.13
m52ssp145.spec     2.93   0.09     2.24   0.13
m52ssp150.spec     2.62   0.11     2.40   0.15
m52ssp155.spec     2.46   0.12     2.44   0.13
m52ssp160.spec     2.39   0.11     2.36   0.14
m52ssp165.spec     2.20   0.13     2.48   0.14
m52ssp170.spec     2.08   0.12     2.50   0.14
m52ssp175.spec     1.98   0.12     2.56   0.11
m52ssp180.spec     1.90   0.15     2.58   0.14
m52ssp185.spec     1.88   0.15     2.64   0.14
m52ssp190.spec     1.81   0.15     2.67   0.12
m52ssp195.spec     1.76   0.15     2.72   0.12
m52ssp200.spec     1.76   0.14     2.77   0.13
m52ssp205.spec     1.71   0.15     2.79   0.13
m52ssp210.spec     1.67   0.15     2.81   0.12
m52ssp215.spec     1.68   0.15     2.81   0.14
m52ssp220.spec     1.67   0.15     2.82   0.13
m62ssp005.spec     2.59   0.02     0.00   0.00
m62ssp010.spec     2.58   0.02     0.00   0.00
m62ssp015.spec     2.59   0.02     0.00   0.00
m62ssp020.spec     2.43   0.02     0.00   0.00
m62ssp025.spec     2.41   0.02     0.00   0.00
m62ssp030.spec     2.39   0.01     0.00   0.00
m62ssp035.spec     2.40   0.02     0.00   0.00
m62ssp040.spec     2.24   0.01     0.00   0.00
m62ssp045.spec     2.83   0.03     0.00   0.00
m62ssp050.spec     3.61   0.03     0.06   0.03
m62ssp055.spec     3.92   0.03     0.19   0.05
m62ssp060.spec     3.73   0.02     0.66   0.06
m62ssp065.spec     3.32   0.02     1.06   0.08
m62ssp070.spec     2.97   0.02     1.36   0.09
m62ssp075.spec     3.46   0.02     1.17   0.10
m62ssp080.spec     3.14   0.03     1.34   0.11
m62ssp085.spec     3.08   0.02     1.27   0.08
m62ssp090.spec     3.35   0.02     1.31   0.08
m62ssp095.spec     3.93   0.03     1.15   0.08
m62ssp100.spec     4.33   0.04     1.16   0.09
m62ssp105.spec     4.78   0.04     1.21   0.08
m62ssp110.spec     5.20   0.04     1.11   0.08
m62ssp115.spec     5.84   0.06     1.13   0.07
m62ssp120.spec     6.51   0.07     1.13   0.08
m62ssp125.spec     7.04   0.08     1.37   0.10
m62ssp130.spec     6.35   0.08     1.55   0.11
m62ssp135.spec     4.67   0.08     2.09   0.15
m62ssp140.spec     3.36   0.09     2.47   0.15
m62ssp145.spec     3.00   0.11     2.64   0.14
m62ssp150.spec     2.76   0.12     2.79   0.14
m62ssp155.spec     2.37   0.16     3.03   0.15
m62ssp160.spec     2.25   0.17     3.11   0.14
m62ssp165.spec     2.14   0.16     3.18   0.15
m62ssp170.spec     2.07   0.15     3.28   0.15
m62ssp175.spec     1.94   0.18     3.39   0.14
m62ssp180.spec     1.83   0.17     3.46   0.14
m62ssp185.spec     1.78   0.22     3.48   0.17
m62ssp190.spec     1.76   0.19     3.55   0.16
m62ssp195.spec     1.67   0.20     3.63   0.16
m62ssp200.spec     1.65   0.21     3.66   0.17
m62ssp205.spec     1.61   0.24     3.74   0.15
m62ssp210.spec     1.53   0.21     3.80   0.16
m62ssp215.spec     1.53   0.21     3.84   0.14
m62ssp220.spec     1.47   0.22     3.83   0.15
m72ssp005.spec     2.83   0.01     0.00   0.00
m72ssp010.spec     2.81   0.01     0.00   0.00
m72ssp015.spec     2.78   0.02     0.00   0.00
m72ssp020.spec     2.80   0.01     0.00   0.00
m72ssp025.spec     2.74   0.01     0.00   0.00
m72ssp030.spec     2.67   0.01     0.00   0.00
m72ssp035.spec     2.67   0.01     0.00   0.00
m72ssp040.spec     2.56   0.02     0.00   0.00
m72ssp045.spec     4.27   0.04     0.03   0.02
m72ssp050.spec     4.43   0.04     0.08   0.03
m72ssp055.spec     4.35   0.04     0.38   0.06
m72ssp060.spec     3.76   0.03     1.04   0.11
m72ssp065.spec     4.04   0.04     0.81   0.09
m72ssp070.spec     4.47   0.05     0.18   0.08
m72ssp075.spec     4.56   0.05     0.16   0.07
m72ssp080.spec     4.70   0.06     0.22   0.07
m72ssp085.spec     4.83   0.05     0.33   0.07
m72ssp090.spec     5.16   0.05     0.47   0.07
m72ssp095.spec     5.58   0.07     0.68   0.07
m72ssp100.spec     5.87   0.07     0.86   0.07
m72ssp105.spec     6.05   0.07     0.94   0.09
m72ssp110.spec     6.18   0.06     0.95   0.08
m72ssp115.spec     6.61   0.08     0.96   0.08
m72ssp120.spec     7.04   0.08     1.11   0.09
m72ssp125.spec     6.84   0.07     1.51   0.12
m72ssp130.spec     5.53   0.06     1.99   0.14
m72ssp135.spec     3.54   0.10     2.51   0.15
m72ssp140.spec     2.55   0.15     2.92   0.15
m72ssp145.spec     2.39   0.14     2.99   0.16
m72ssp150.spec     2.19   0.16     3.17   0.16
m72ssp155.spec     1.86   0.16     3.44   0.15
m72ssp160.spec     1.68   0.18     3.60   0.15
m72ssp165.spec     1.50   0.17     3.71   0.16
m72ssp170.spec     1.46   0.17     3.78   0.16
m72ssp175.spec     1.43   0.20     3.77   0.16
m72ssp180.spec     1.36   0.17     3.85   0.16
m72ssp185.spec     1.27   0.19     3.94   0.16
m72ssp190.spec     1.20   0.20     3.97   0.16
m72ssp195.spec     1.17   0.20     4.03   0.16
m72ssp200.spec     1.14   0.19     4.07   0.16
m72ssp205.spec     1.12   0.20     4.09   0.14
m72ssp210.spec     1.08   0.22     4.09   0.15
m72ssp215.spec     1.12   0.23     4.13   0.16
m72ssp220.spec     1.08   0.24     4.14   0.15
