SSPs   Mgb  e_Mgb   Fe5270  e_Fe5270   Fe5335  e_Fe5335
m42ssp025.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp030.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp035.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp040.spec     0.00   0.00     0.00   0.00     0.00   0.00
m42ssp045.spec     0.60   0.08     0.47   0.19     0.36   0.12
m42ssp050.spec     0.60   0.06     0.38   0.18     0.31   0.11
m42ssp055.spec     0.31   0.05     0.23   0.09     0.19   0.08
m42ssp060.spec     0.63   0.05     0.37   0.15     0.35   0.10
m42ssp065.spec     0.75   0.07     0.64   0.14     0.60   0.09
m42ssp070.spec     0.64   0.10     1.06   0.16     0.99   0.11
m42ssp075.spec     0.52   0.10     0.92   0.12     0.81   0.08
m42ssp080.spec     0.30   0.10     0.89   0.10     0.73   0.07
m42ssp085.spec     0.39   0.11     1.10   0.14     0.94   0.09
m42ssp090.spec     0.61   0.15     1.24   0.15     1.10   0.09
m42ssp095.spec     0.78   0.13     1.38   0.18     1.31   0.12
m42ssp100.spec     0.79   0.14     1.42   0.18     1.33   0.10
m42ssp105.spec     0.83   0.13     1.32   0.17     1.26   0.11
m42ssp110.spec     0.90   0.08     0.99   0.12     1.01   0.08
m42ssp115.spec     0.89   0.06     0.80   0.11     0.83   0.07
m42ssp120.spec     0.85   0.07     0.77   0.11     0.73   0.09
m42ssp125.spec     1.07   0.07     0.92   0.09     0.88   0.07
m42ssp130.spec     1.13   0.08     0.96   0.09     0.81   0.08
m42ssp135.spec     1.36   0.09     1.20   0.11     1.03   0.08
m42ssp140.spec     1.79   0.14     1.87   0.16     1.69   0.09
m42ssp145.spec     1.68   0.16     2.00   0.15     1.84   0.10
m42ssp150.spec     1.92   0.17     2.00   0.16     1.84   0.10
m42ssp155.spec     2.13   0.19     2.07   0.17     1.87   0.10
m42ssp160.spec     2.30   0.19     2.12   0.18     1.92   0.09
m42ssp165.spec     2.39   0.18     2.18   0.16     2.01   0.10
m42ssp170.spec     2.52   0.20     2.23   0.17     2.08   0.10
m42ssp175.spec     2.61   0.23     2.26   0.21     2.10   0.11
m42ssp180.spec     2.76   0.23     2.31   0.18     2.16   0.11
m42ssp185.spec     2.88   0.20     2.36   0.19     2.19   0.11
m42ssp190.spec     3.03   0.23     2.39   0.22     2.21   0.12
m42ssp195.spec     3.06   0.22     2.38   0.20     2.22   0.11
